Source.Name,Open time,Open,Date,Quartile,Month,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
XRPUSDT-1d-2023-08.csv,1.69E+12,0.5258,26-08-2023,Q3,August,0.5283,0.5178,0.5231,110436094,1.69E+12,57772395.75,63903,54969599,28763660.38,0
XRPUSDT-1d-2023-08.csv,1.69E+12,0.5231,27-08-2023,Q3,August,0.5303,0.5163,0.5236,132391247,1.69E+12,69622811.36,70834,69357564,36474906.99,0
XRPUSDT-1d-2023-08.csv,1.69E+12,0.5235,28-08-2023,Q3,August,0.525,0.5102,0.5232,266211960,1.69E+12,138002651.5,113377,147203511,76323852.63,0
XRPUSDT-1d-2023-08.csv,1.69E+12,0.5232,29-08-2023,Q3,August,0.5496,0.5131,0.5398,458921685,1.69E+12,243625243.1,217227,239623870,127023861.2,0
XRPUSDT-1d-2023-08.csv,1.69E+12,0.5398,30-08-2023,Q3,August,0.5404,0.5216,0.5284,279526116,1.69E+12,148049982.3,117945,140504186,74411065.89,0
XRPUSDT-1d-2023-08.csv,1.69E+12,0.5284,31-08-2023,Q3,August,0.5288,0.495,0.511,359350681,1.69E+12,185642613.4,164905,181684019,93856000.85,0
XRPUSDT-1d-2023-09.csv,1.69E+12,0.511,01-09-2023,Q3,September,0.512,0.4864,0.498,390869888,1.69E+12,196180468.7,155643,204079025,102455148.5,0
XRPUSDT-1d-2023-09.csv,1.69E+12,0.4981,02-09-2023,Q3,September,0.5029,0.4943,0.4988,173634913,1.69E+12,86413967.26,79123,91500733,45546277.04,0
XRPUSDT-1d-2023-09.csv,1.69E+12,0.4989,03-09-2023,Q3,September,0.5107,0.4971,0.5047,148603214,1.69E+12,74878959.35,75137,77527599,39068328.37,0
XRPUSDT-1d-2023-09.csv,1.69E+12,0.5047,04-09-2023,Q3,September,0.513,0.4966,0.5087,293271541,1.69E+12,148200901.3,120518,158135856,79918791.87,0
XRPUSDT-1d-2023-09.csv,1.69E+12,0.5087,05-09-2023,Q3,September,0.5088,0.499,0.5056,260333041,1.69E+12,131087885.3,101751,144411083,72731672.49,0
XRPUSDT-1d-2023-09.csv,1.69E+12,0.5056,06-09-2023,Q3,September,0.5058,0.4909,0.5033,255134232,1.69E+12,127756291.8,102329,123848270,62014296.17,0
XRPUSDT-1d-2023-09.csv,1.69E+12,0.5033,07-09-2023,Q3,September,0.5069,0.4965,0.505,209969723,1.69E+12,105141976.3,91757,102975196,51566842.62,0
XRPUSDT-1d-2023-09.csv,1.69E+12,0.5051,08-09-2023,Q3,September,0.5076,0.4941,0.505,223628172,1.69E+12,112392001.6,95729,120272281,60463044.77,0
XRPUSDT-1d-2023-09.csv,1.69E+12,0.5049,09-09-2023,Q3,September,0.5049,0.5015,0.5038,69132813,1.69E+12,34798028.54,38367,35071176,17653495.27,0
XRPUSDT-1d-2023-09.csv,1.69E+12,0.5038,10-09-2023,Q3,September,0.5039,0.4923,0.4969,144849888,1.69E+12,72189553.53,73444,72227525,35998516,0
XRPUSDT-1d-2023-09.csv,1.69E+12,0.4969,11-09-2023,Q3,September,0.4982,0.459,0.4744,484437445,1.69E+12,231551329.5,199473,264691203,126542737,0
